,page_no,manufacturer,title,price,description
140,2,Harley Benton,DC-DLX Gotoh Daphne Bl B-Stock,£186,"B-Stock, Harley Benton DC-DLX Gotoh Daphne Blue Deluxe Series, electric guitar, Nyatoh body, set mahogany modern C-shape neck, Rosewood (Dalbergia lat..."
141,2,Harley Benton,Fusion-III HH FR Roast B-Stock,£347,"B-Stock, Harley Benton Fusion-III HH FR Roasted FBLB Trans Flamed Blue Burst; pro series, st-style electric guitar; comfort body contour with matched ..."
142,2,Harley Benton,SC-Special TV Yellow B-Stock,£169,"B-Stock, Harley Benton SC-Special TV Yellow, Vintage Series, Single Cut Electric Guitar; a.k.a. ""the dirty mustard sc""; Body: Mahogany; Neck: Mahogany..."
143,2,Harley Benton,Fusion-T HH Roasted SW B-Stock,£358,"B-Stock, Harley Benton Fusion-T HH Roasted SWH; t-style electric guitar; pro series; comfort body contour; body: nyatoh (palaquium spp); neck: roasted..."
144,2,Fender,Telecaster Custom FMT  B-Stock,£759,"Special Edition series
                                                            Body: Mahogany
                                                            Top: Flamed maple"
145,2,Harley Benton,SC-Custom II FR Vint. B-Stock,£276,"Custom Line series
                                                            Mahogany body
                                                            Set-in mahogany neck"
146,2,Harley Benton,SC-Custom Plus EMG VBK B-Stock,£324,"B-Stock, Harley Benton SC-Custom Plus EMG Vintage Black; SC-Style Electric Guitar; Deluxe Series; Body: Okoume; Top: maple; Neck: Nyatoh; Fingerboard:..."
147,2,Harley Benton,RB-612CS Classic Serie B-Stock,£193,"Design: Semi-hollow
                                                            Body: Sapele
                                                            Neck: Maple"
148,2,PRS,CE 24 Semi Hollow MS B-Stock,"£2,049","B-Stock, PRS CE 24 Semi Hollow MS McCarty Sunburst; e-guitar; Mahogany body; Semi Hollow with one F-hole; curved maple top; screwed maple neck; finger..."
149,2,Squier,Affinity Strat FSR H H B-Stock,£188,"B-Stock, Squier Affinity FSR Stratocaster H HT Surf Green; Electric Guitar; Series: Affinity Series; Body: Poplar; Neck: Maple, Neck Profile: Slim ""C""..."
150,2,Larry Carlton,L7V TS B-Stock,£466,"B-Stock, Larry Carlton L7V TS; SC-Style Electric Guitar; Body: Mahogany; Top: Maple with flamed Maple Veneer; Neck: Mahogany; Fingerboard: Ebony (Dios..."
151,2,Harley Benton,Fusion-III HSS Roasted B-Stock,£321,"B-Stock, Harley Benton Fusion-III HSS Roasted OMS Pro Series; ST-shape electric guitar; comfort body contour; body: nyatoh; neck: roasted Canadian har..."
152,2,ESP,LTD MH-200 Black B-Stock,£398,"Body: Mahogany
                                                            Top: Maple
                                                            Bolted neck: Maple"
153,2,FGN,J-Standard Odyssey DU  B-Stock,£877,"B-Stock, FGN J-Standard Odyssey DU IBS; ST-Style Electric Guitar; Body: Ash; Top: Imbuia; Neck: Maple; Fingerboard: Rosewood (Dalbergia Latifolia) ; N..."
154,2,Harley Benton,Fusion-III HSH EB FBB B-Stock,£241,"B-Stock, Harley Benton Fusion-III HSH EB FBB Trans Flamed Bengal Burst; pro series; st-style electric guitar; comfort body contour with matched headst..."
155,2,Harley Benton,Amarok-6 BKRD Quilted  B-Stock,£399,"Body shape: Arched Modern Comfort
                                                            Body: Mahogany
                                                            Top: Quilted maple veneer"
